act,link,pic,sco,title
张已桂、孙天文,http://dianying.2345.com/detail/193713.html,http//imgwx1.2345.com/dypcimg/img/7/64/s193713.jpg,8.2,我的魔姬女友
约翰尼·德普、杰弗里·拉什,http://dianying.2345.com/detail/52268.html,http//imgwx4.2345.com/dypcimg/img/2/17/s52268.jpg,8.4,加勒比海盗1黑珍珠号的诅咒
布兰登·费舍、李连杰,http://dianying.2345.com/detail/52966.html,http//imgwx5.2345.com/dypcimg/img/9/17/s52966.jpg?1438927880,5.8,木乃伊3
菲丽希缇·琼斯、迭戈·鲁纳,http://dianying.2345.com/detail/182891.html,http//imgwx1.2345.com/dypcimg/img/e/60/s182891.jpg,8.3,星球大战外传侠盗一号
布莱恩·科兰斯…、亚伦·泰勒-约翰…,http://dianying.2345.com/detail/109062.html,http//imgwx3.2345.com/dypcimg/img/3/36/s109062.jpg?1433813332,8.7,哥斯拉2014
杰拉德·巴特勒、琳娜·海蒂,http://dianying.2345.com/detail/52254.html,http//imgwx2.2345.com/dypcimg/img/6/17/s52254.jpg?1483931853,7.6,斯巴达300勇士
周润发、吴倩莲,http://dianying.2345.com/detail/193644.html,http//imgwx5.2345.com/dypcimg/img/4/64/s193644.jpg,8.7,赌神2
曹伟杰、杨洋,http://dianying.2345.com/detail/193171.html,http//imgwx2.2345.com/dypcimg/img/e/64/s193171.jpg,7.9,西游之大话女儿国下
曹伟杰、杨洋,http://dianying.2345.com/detail/192604.html,http//imgwx1.2345.com/dypcimg/img/2/64/s192604.jpg,9.0,西游之大话女儿国上
娜奥米·沃茨、杰克·布莱克,http://dianying.2345.com/detail/52980.html,http//imgwx2.2345.com/dypcimg/img/douban/1309043/postb_s1462319_mini.jpg,7.7,金刚2005
赵欣彤、桑娜,http://dianying.2345.com/detail/191516.html,http//imgwx2.2345.com/dypcimg/img/0/63/s191516.jpg,8.1,西游之牛魔王
苗韵桐,http://dianying.2345.com/detail/193361.html,http//imgwx4.2345.com/dypcimg/img/3/64/s193361.jpg,8.3,佣兵的战争
岑丽香、郑欣宜,http://dianying.2345.com/detail/179761.html,http//imgwx1.2345.com/dypcimg/img/9/59/s179761.jpg?1480297768,8.7,辣警霸王花
史蒂文·斯崔特、卡米拉·贝勒,http://dianying.2345.com/detail/59250.html,http//imgwx3.2345.com/dypcimg/img/1/449128/1ef6262953e61dda418aeb41da06bfa5.jpg,7.9,史前一万年
周星驰、林青霞,http://dianying.2345.com/detail/167621.html,http//imgwx4.2345.com/dypcimg/img/e/55/s167621.jpg,7.7,鹿鼎记2
张智杰、张莹莹,http://dianying.2345.com/detail/191860.html,http//imgwx2.2345.com/dypcimg/img/8/63/s191860.jpg,7.8,西游记之再显神威
阿米尔·汗、沙克希·坦沃,http://dianying.2345.com/detail/192192.html,http//imgwx1.2345.com/dypcimg/img/d/64/s192192.jpg?1499159027,8.6,摔跤吧爸爸
周星驰、蔡少芬,http://dianying.2345.com/detail/665.html,http//imgwx1.2345.com/dypcimg/img/8/0/s665.jpg?1491536314,9.1,大话西游之大圣娶亲
李泽鹏、吴楚一,http://dianying.2345.com/detail/194182.html,http//imgwx5.2345.com/dypcimg/img/e/64/s194182.jpg,7.0,灵狐圣子2仙山大战
汤姆·克鲁斯、宝拉·巴顿,http://dianying.2345.com/detail/141742.html,http//imgwx5.2345.com/dypcimg/img/5/47/s141742.jpg?1450061845,8.8,碟中谍5
范·迪塞尔、克里斯·帕拉特,http://dianying.2345.com/detail/149444.html,http//imgwx2.2345.com/dypcimg/img/6/49/s149444.jpg,8.7,银河护卫队2
任德勇、睿熙,http://dianying.2345.com/detail/179317.html,http//imgwx1.2345.com/dypcimg/img/6/59/s179317.jpg,7.8,西游外传之唐僧娶亲
丹尼尔·克雷格、奥尔加·柯瑞兰…,http://dianying.2345.com/detail/31988.html,http//imgwx5.2345.com/dypcimg/img/1/10/s31988.jpg?1498715406,8.5,007大破量子危机
